370	380	394	404	314	328	340	350	412
385	382	379	376	353	349	345	341	317
339	337	338	339	298	296	294	294	290
363	360	357	355	331	328	328	325	305
101	102	102	103	153	153	153	154	164
360	357	355	354	328	328	325	322	305
346	343	341	339	305	303	300	298	290
407	404	401	398	381	377	374	370	341
98	100	100	100	153	153	153	153	156
162	184	204	228	168	172	178	188	270
109	113	120	134	156	156	160	164	207
143	162	184	204	165	168	172	178	259
162	184	204	228	168	172	178	188	270
514	550	573	586	314	326	340	362	470
550	573	586	588	326	340	362	390	472
162	184	204	228	168	172	178	188	270
109	113	120	134	156	156	160	164	207
143	162	184	204	165	168	172	178	259
162	184	204	228	168	172	178	188	270
514	550	573	586	314	326	340	362	470
